B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
35,32,31,53,42,203,27,513,WI,725,18267,3045
35,29,27,26,26,195,22,514,WI,614,594833,3046
30,27,24,69,45,201,26,515,WI,702,34451,3047
36,35,33,49,39,202,29,516,NH,486,23409,3050
46,46,49,57,57,206,47,517,SD,1207,14454,3058
37,35,35,48,45,203,35,518,MI,728,15194,3068
38,36,35,53,46,203,36,519,MI,718,11394,3075
37,36,37,50,47,206,37,520,SD,1224,10571,3082
36,30,27,34,25,197,19,521,NY,33,50129,3087
37,31,29,34,26,197,20,522,MI,610,16314,3089
42,38,37,46,41,203,34,523,MI,587,12084,3090
45,43,42,55,58,204,45,524,MI,617,47299,3092
37,35,32,63,45,202,28,525,MI,581,59715,3093
42,39,40,53,52,203,39,526,MI,614,129699,3094
37,33,32,47,45,202,32,527,MI,856,48579,3101
38,35,35,57,47,205,33,528,MI,853,114297,3102
35,31,27,58,38,199,25,529,MA,1004,44737,3116
34,27,23,37,29,194,19,530,MA,95,75754,3123
32,25,22,36,23,193,15,531,MA,98,38120,3124
28,22,18,50,25,192,15,532,MA,69,42844,3125
26,21,15,54,31,198,16,533,MA,56,24729,3127
35,32,30,45,38,203,27,534,MA,220,24498,3128
34,28,25,29,27,197,23,535,MA,164,68318,3131
35,30,29,39,35,202,27,536,MA,102,22325,3134
36,31,30,37,30,202,22,537,MA,20,21374,3135
35,33,32,48,42,205,32,538,MA,210,14907,3137
31,25,22,46,30,192,18,539,MA,213,31394,3138
35,30,27,48,35,202,24,540,MA,164,10106,3140
35,29,28,40,36,202,25,541,MA,459,11412,3150
33,27,24,32,27,195,20,542,MA,259,25055,3157
40,38,39,50,48,203,37,543,WI,604,99218,3160
37,36,35,66,56,200,36,544,WI,696,19719,3163
34,29,28,41,31,200,23,545,MA,305,19065,3166
27,22,17,66,45,195,20,546,MI,879,113934,3172
38,36,37,52,52,203,38,547,MI,932,33534,3173
36,33,31,54,42,203,30,548,MI,840,52347,3176
30,26,24,49,37,199,24,549,MI,879,46292,3183
35,32,31,38,37,206,28,550,MI,787,74262,3185
31,26,23,37,29,190,19,551,MA,26,58732,3188
27,22,18,58,36,198,18,552,MA,108,24729,3189
33,25,22,26,19,193,15,553,MA,125,27982,3192
34,29,28,41,33,203,24,554,MA,203,10791,3193
26,23,19,53,34,198,18,555,MA,161,15784,3197
24,19,14,47,26,190,13,556,MA,108,15985,3198
28,23,18,47,26,190,15,557,MA,52,10293,3205
